CODE,NAME,QUANTITY,UNIT,UNITPRICE,WONO
CC-54,CC OF AZITHROMAX 500MG TAB 1S,"9,500.00",PCS,0.9,WO-16202021
CC-2,CC OF ANALAC 10MG TAB,"8,500.00",PCS,0.9,WO-16202021
CC-6,CC OF DOMIDON 10 MG TAB,"11,500.00",PCS,0.9,WO-16202021
11466,CC OF DEXILEND 30MG CAP,"115,000.00",PCS,1.1,WO-16202021
CC-23,CC OF RELAXO 25 MG CAP,"24,000.00",PCS,1,WO-16202021
12107,CC OF ROTATE 400MG TAB 4S,"16,500.00",PCS,0.9,WO-16202021
16823,CC OF REEFCAL-D,"22,000.00",PCS,1.2,WO-16202021
18742,CC OF TERBITAC 250TAB,"21,500.00",PCS,0.9,WO-16202021
15082,CC OF DOXOLATOR 200MG,"20,700.00",PCS,0.9,WO-16202021
CC-50,CC OF NEUBIN TAB,"21,000.00",PCS,0.9,WO-16202021
17577,CC OF MONALAST TAB 10MG,"17,000.00",PCS,0.9,WO-16202021
20316,CC OF MAX-D TAB 20000 IU,"24,000.00",PCS,1.2,WO-16202021
19603,CC OF METFORAL,"4,000.00",PCS,1,WO-16202021
19535,GLIMITUS 2 OF CC,"4,000.00",PCS,1,WO-16202021
19604,CC OF GLYTAS,"4,000.00",PCS,1,WO-16202021
20317,CC OF AJARDY 10MG TAB,"3,500.00",PCS,1,WO-16202021
CC-57,CC OF PALORON 0.5MG TAB-4S,"13,500.00",PCS,1,WO-16202021
CC-25,CC OF SOLUPRED 4 MG TAB,"15,500.00",PCS,0.9,WO-16202021
16029,CC OF IMUCORT TAB 6MG,"18,000.00",PCS,0.9,WO-16202021
CC-52,CC OF RUPIN 10MG TAB,"12,000.00",PCS,1,WO-16202021
